pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
580021,Marathon,马拉松,徐松岩《历史》2018修订本索引,位于阿提卡东北部 马拉松战役
638965,Lycia,吕基亚,徐松岩《历史》2018修订本索引,
599612,Ephesus/Arsinoe(ia),以弗所,徐松岩《历史》2018修订本索引,在吕底亚，伊奥尼亚人十二城邦之一 148 领土
550595,Ilium/Troia,特洛伊,徐松岩《历史》2018修订本索引,城市
501635,Thasos (island),萨索斯岛,Wikidata,Q204096 · 18 mention(s)
971705,Bactria (region),巴克特里亚,徐松岩《历史》2018修订本索引,即大夏，波斯帝国的省区之一
786021,Elephantine,埃列凡提涅,徐松岩《历史》2018修订本索引,
550506,Cyme,库麦,徐松岩《历史》2018修订本索引,
599805,Mycale (mountain),米利卡,Wikidata,Q1330828 · 15 mention(s)
541157,Trachis/Herakleia,特拉齐斯,徐松岩《历史》2018修订本索引,
599777,Maeander (river),大门德雷斯河,Wikidata,Q211089 · 14 mention(s)
452436,Scylla,希拉,Wikidata,Q54666 · 14 mention(s)
678393,Sidon/Col. Aurelia Pia,西顿,徐松岩《历史》2018修订本索引,腓尼基人的城市
884118,Araxes (river),阿拉克塞斯,徐松岩《历史》2018修订本索引,河流
874350,Armenia (region),亚美尼亚,徐松岩《历史》2018修订本索引,
580072,Phaleron,波斯舰队在法勒伦,徐松岩《历史》2018修订本索引,
226630,Hypanis/Southern Bug (river),海帕尼斯,徐松岩《历史》2018修订本索引,河流，在斯基泰亚
589748,Creta (island),克里特岛/革哩底,Wikidata,Q34374 · 12 mention(s)
530843,Dodona (Epirus),多多纳,Wikidata,Q382317 · 12 mention(s)
599636,Halicarnassus/Halikarnassos,哈利卡纳苏斯,徐松岩《历史》2018修订本索引,
857173,Isis (river),納塔內比河,Wikidata,
462215,Gela(s) (river),傑拉河,Wikidata,Q1110162 · 11 mention(s)
550893,Smyrna/Eurydikeia,士麦那,Wikidata,Q1379299 · 10 mention(s)
727117,Heliopolis,赫里奥波里斯,徐松岩《历史》2018修订本索引,
570459,Mantineia/Antigoneia,门丁尼亚/曼蒂尼亚,Wikidata,Q1160195 · 9 mention(s)
912849,Euphrates (river),幼发拉底,徐松岩《历史》2018修订本索引,河流，起源于亚美尼亚 193
530834,Corcyra (settlement),克基拉,徐松岩《历史》2018修订本索引,岛屿
570668,Sicyon/Demetrias,西基昂,徐松岩《历史》2018修订本索引,城市，在科林斯之西
874621,Nineveh/Ninos,尼尼微,徐松岩《历史》2018修订本索引,
472091,Lokra (river),普吕内利河,Wikidata,Q3247399 · 9 mention(s)
501609,Sestos,塞斯托斯,徐松岩《历史》2018修订本索引,
628949,Cappadocia (region),卡帕多细亚/卡帕多基亚,Wikidata,Q217265 · 8 mention(s)
736967,Moeris (lake),莫伊利斯,徐松岩《历史》2018修订本索引,湖
845034,Paphlagonia (region),帕弗拉格尼亚,Wikidata,Q622032 · 8 mention(s)
462503,Syracusae/Syrakousai,锡拉库萨/叙拉古,Wikidata,Q13670 · 8 mention(s)
727169,Naucratis,那乌克拉提斯,徐松岩《历史》2018修订本索引,在
